high,low,last,interest_rate,instrument_name,bid_price,ask_price,open_interest,mark_price,creation_timestamp,price_change,volume,mark_iv,underlying_price,underlying_index,base_currency,quote_currency,estimated_delivery_price,volume_usd,mid_price,strike,expiration_timestamp,option_type,spread,spread_ratio,moneyness,intrinsic_value,mid_price_usd,arbitrage_opportunity
,,0.1665,0.0,BTC-25DEC26-65000-P,0.1585,0.162,540.4,0.16042057,1782497953809,,0.0,43.11,59924.95,BTC-25DEC26,BTC,BTC,59924.95,0.0,0.16025,65000.0,1798185600000,put,0.003500000000000003,0.021840873634945416,1.0846900998665832,5075.050000000003,9602.9732375,False
0.009,0.0065,0.008,0.0,BTC-31JUL26-69000-C,0.007,0.008,878.9,0.00788058,1782497953809,6.6667,211.5,39.03,59924.95,BTC-31JUL26,BTC,BTC,59924.95,87103.02,0.0075,69000.0,1785484800000,call,0.001,0.13333333333333333,1.1514402598583728,0.0,449.437125,False
0.1035,0.0915,0.0915,0.0,BTC-28AUG26-63000-P,0.0925,0.096,105.9,0.09508953,1782497953809,-8.5,35.8,41.01,59924.95,BTC-28AUG26,BTC,BTC,59924.95,201993.32,0.09425,63000.0,1787904000000,put,0.003500000000000003,0.03713527851458889,1.0513150198706882,3075.050000000003,5647.9265374999995,False
,,0.4125,0.0,BTC-25DEC26-40000-C,0.3665,0.37,63.3,0.36823468,1782497953809,,0.0,56.8,59924.95,BTC-25DEC26,BTC,BTC,59924.95,0.0,0.36824999999999997,40000.0,1798185600000,call,0.003500000000000003,0.009504412763068577,0.6675015999178974,19924.949999999997,22067.362837499997,False
0.0043,0.0033,0.0037,0.0,BTC-17JUL26-68000-C,0.0034,0.0038,47.5,0.00378632,1782497953809,-5.1282,37.2,38.47,59924.95,BTC-17JUL26,BTC,BTC,59924.95,9238.59,0.0036,68000.0,1784275200000,call,0.0004000000000000002,0.11111111111111116,1.1347527198604255,0.0,215.72982,False
0.0677,0.052,0.052,0.0,BTC-28AUG26-58000-P,0.054,0.055,478.7,0.05463394,1782497953809,-14.7541,400.3,44.06,59924.95,BTC-28AUG26,BTC,BTC,59924.95,1414138.36,0.0545,58000.0,1787904000000,put,0.0010000000000000009,0.018348623853211024,0.9678773198809512,0.0,3265.9097749999996,False
,,0.17,0.0,BTC-10JUL26-70000-P,0.164,0.1705,0.7,0.16782213,1782497953809,,0.0,39.55,59924.95,BTC-10JUL26,BTC,BTC,59924.95,0.0,0.16725,70000.0,1783670400000,put,0.006500000000000006,0.03886397608370706,1.1681277998563204,10075.050000000003,10022.4478875,True
0.0235,0.016,0.0205,0.0,BTC-31JUL26-65000-C,0.019,0.02,1510.9,0.01958453,1782497953809,13.8889,598.9,39.51,59924.95,BTC-31JUL26,BTC,BTC,59924.95,734853.84,0.0195,65000.0,1785484800000,call,0.0010000000000000009,0.05128205128205133,1.0846900998665832,0.0,1168.536525,False
,,0.3265,0.0,BTC-28AUG26-81000-P,0.339,0.384,0.1,0.34819416,1782497953809,,0.0,38.97,59924.95,BTC-28AUG26,BTC,BTC,59924.95,0.0,0.36150000000000004,81000.0,1787904000000,put,0.044999999999999984,0.12448132780082982,1.351690739833742,21075.050000000003,21662.869425,False
0.0315,0.01,0.0105,0.0,BTC-29JUN26-60000-P,0.012,0.0135,78.1,0.01301196,1782497953809,-47.5,95.3,37.27,59924.95,index_price,BTC,BTC,59924.95,94789.17,0.012750000000000001,60000.0,1782720000000,put,0.0014999999999999996,0.11764705882352937,1.001252399876846,75.05000000000291,764.0431125,False
0.0175,0.0125,0.0125,0.0,BTC-28AUG26-46000-P,0.012,0.013,326.5,0.01253309,1782497953809,-13.7931,94.4,56.32,59924.95,BTC-28AUG26,BTC,BTC,59924.95,81617.1,0.0125,46000.0,1787904000000,put,0.0009999999999999992,0.07999999999999993,0.7676268399055819,0.0,749.061875,False
0.0835,0.0825,0.0835,0.0,BTC-25JUN27-80000-C,0.082,0.086,0.9,0.08384972,1782497953809,1.2121,0.4,43.15,59924.95,BTC-25JUN27,BTC,BTC,59924.95,1973.32,0.08399999999999999,80000.0,1813910400000,call,0.00399999999999999,0.0476190476190475,1.3350031998357947,0.0,5033.6957999999995,False
,,0.203,0.0,BTC-31JUL26-50000-C,0.177,0.18,2.3,0.17839767,1782497953809,,0.0,55.15,59924.95,BTC-31JUL26,BTC,BTC,59924.95,0.0,0.1785,50000.0,1785484800000,call,0.0030000000000000027,0.016806722689075647,0.8343769998973717,9924.949999999997,10696.603575,False
0.1202,0.118,0.118,0.0,BTC-25DEC26-62000-C,0.1145,0.117,130.1,0.115899,1782497953809,-1.8303,51.0,43.89,59924.95,BTC-25DEC26,BTC,BTC,59924.95,370293.99,0.11575,62000.0,1798185600000,call,0.0025000000000000022,0.02159827213822896,1.0346274798727408,0.0,6936.3129625,False
0.0775,0.0775,0.0775,0.0,BTC-25JUN27-82000-C,0.0755,0.079,20.4,0.07696773,1782497953809,0.0,0.4,43.07,59924.95,BTC-25JUN27,BTC,BTC,59924.95,1863.26,0.07725,82000.0,1813910400000,call,0.003500000000000003,0.04530744336569583,1.3683782798316895,0.0,4629.2023874999995,False
,,0.5075,0.0,BTC-25SEP26-30000-C,0.506,0.508,99.2,0.50651996,1782497953809,,0.0,75.78,59924.95,BTC-25SEP26,BTC,BTC,59924.95,0.0,0.507,30000.0,1790323200000,call,0.0020000000000000018,0.00394477317554241,0.500626199938423,29924.949999999997,30381.94965,False
,,,0.0,BTC-25JUN27-85000-P,0.4245,0.517,0.0,0.43226192,1782497953809,,0.0,42.95,59924.95,BTC-25JUN27,BTC,BTC,59924.95,0.0,0.47075,85000.0,1813910400000,put,0.09250000000000003,0.19649495485926718,1.4184408998255318,25075.050000000003,28209.670212499997,False
0.004,0.0022,0.0028,0.0,BTC-31JUL26-73000-C,0.0026,0.0028,1379.9,0.00282657,1782497953809,-9.6774,1105.8,38.85,59924.95,BTC-31JUL26,BTC,BTC,59924.95,223571.22,0.0027,73000.0,1785484800000,call,0.0002000000000000001,0.0740740740740741,1.2181904198501627,0.0,161.797365,False
0.1,0.09,0.1,0.0,BTC-3JUL26-66000-P,0.098,0.1045,73.5,0.10187044,1782497953809,10.4972,3.5,41.4,59924.95,BTC-3JUL26,BTC,BTC,59924.95,19292.66,0.10125,66000.0,1783065600000,put,0.006499999999999992,0.06419753086419745,1.1013776398645305,6075.050000000003,6067.4011875,True
